generation,best_fitness,best_alpha,avg_e
1,0.9999183280258537,0.007322914259019767,0.00000000000000000010017773666530971
2,0,0.0033288541794761653,0.00000000000000000009924898747243356
3,0.9169822146037079,0.00646468354852948,0.00000000000000000009979477616525648
4,0.8929658536692767,0.006345693183939847,0.00000000000000000010227799200780964
5,0.8796206328875108,0.006284378430210119,0.00000000000000000010703319525460522
6,0.9997903905447096,0.007338304338674967,0.00000000000000000012348605505737216
7,0.999936071518091,0.007274737388328826,0.00000000000000000015916578142404575
8,0.9999954960226085,0.007291349862737944,0.00000000000000000016025677754137827
9,0.999999433733141,0.007295224108855015,0.00000000000000000016027466401297022
10,0.9999999998890969,0.007297322734196487,0.00000000000000000016032682239438245
11,0.9999999755699692,0.007296910434260227,0.00000000000000000016017596007103066
12,0.9999999993997394,0.007297283223426398,0.00000000000000000016020863486542457
13,0.9999999862344856,0.007297020670967977,0.00000000000000000016018140808409416
14,0.999998980456256,0.007294496587363902,0.00000000000000000016017740960369158
15,0.9999986285909798,0.00730066481271559,0.00000000000000000016021708090348977
16,0.9999994143062636,0.007295187907084354,0.00000000000000000016016223235974508
17,0.9999998365970817,0.007298495859236392,0.000000000000000000160229794802079
18,0.9999999913844775,0.00729761505465593,0.00000000000000000016021711824810151
19,0.9999999981115298,0.00729722960687202,0.00000000000000000016021200426571914
20,0.9999999401735763,0.007298044337969791,0.00000000000000000016028408840822986
21,0.9999988019840107,0.007294256695307705,0.00000000000000000016018666740635843
22,0.999999544044037,0.007299262402317425,0.00000000000000000016019195754789152
23,0.9999983254128888,0.007301012671883082,0.0000000000000000001602205086136138
24,0.9999990092383808,0.007294537188042025,0.00000000000000000016029250747433596
25,0.9999999999803089,0.00729736507157501,0.00000000000000000016023250261641745
26,0.9999997018890683,0.007295808212308011,0.00000000000000000016022868404685764
27,0.9999999649556156,0.007297882006180716,0.0000000000000000001601890708827088
28,0.9999955634858437,0.007303310052879053,0.00000000000000000016017570261399856
29,0.9999990919294763,0.007300047806666146,0.0000000000000000001602252773252339
30,0.9999999985749233,0.007297459294162206,0.00000000000000000016012115100753633
31,0.9999999928207377,0.007297592174628801,0.00000000000000000016019903450835577
32,0.9999985710268783,0.007293971427022396,0.00000000000000000016024146371815733
33,0.9999995747103462,0.007295507983177682,0.00000000000000000016030828634314334
34,0.9999998824314854,0.007296382701876975,0.00000000000000000016031070367424616
35,0.9999998407145569,0.007298481362232993,0.0000000000000000001602297151359931
36,0.9999999521235561,0.007297971399783456,0.00000000000000000016024002367573462
37,0.9999998401822263,0.007296221794061509,0.0000000000000000001601741770979251
38,0.9999999763098815,0.007296917180465238,0.00000000000000000016015003083853446
39,0.9999984844410993,0.007300834542962886,0.00000000000000000016007305276676763
40,0.9999999687218133,0.007297852745952374,0.00000000000000000016028133691455026
41,0.9999997542094178,0.007298754777578894,0.0000000000000000001601874321129342
42,0.9999996650065158,0.007295715465734923,0.00000000000000000016024804715339037
43,0.9999998935969252,0.007298275138868747,0.00000000000000000016018608720155105
44,0.9999999580433577,0.007297931876307573,0.0000000000000000001602540444290879
45,0.9999973446135862,0.007301961546380344,0.00000000000000000016008932688203616
46,0.9999999980891151,0.007297476161435642,0.00000000000000000016023804519215006
47,0.9999999958393165,0.007297534963558953,0.0000000000000000001601111796113862
48,0.9999998291735364,0.007296183498766819,0.00000000000000000016024233966597198
49,0.9999999924813845,0.007297107267728533,0.0000000000000000001602939710528904
50,0.9999997503641312,0.007298765703862225,0.0000000000000000001602556472247239
