generation,best_fitness,best_alpha,best_alpha_s,best_alpha_w
83,0.9999999967188747,0.013547127297176878,1.8559344912755766,0.0000053401811830615625
84,0.9999999880082223,0.016913699529454474,2.31722922275975,0.000004648111357956518
85,0.9999999424636865,0.0125682068558413,1.7219296078902007,0.000004485025824050802
86,0.9999999854907456,0.015270744760712652,2.092144059094969,0.000004184925280022444
87,0.9999999955187092,0.014150601895340289,1.9386592526692525,0.0000050507200654883476
88,0.9999999988694444,0.014461815460065395,1.9812824715461805,0.000005033453604898783
89,0.9999999634291104,0.012815579859722207,1.7556651219842547,0.0000048461190131494
90,0.9999999662678162,0.01581673512826145,2.16697487704377,0.0000038801480825146895
91,0.9999999998330391,0.01651653036427219,2.262758623600573,0.0000049356014875234
92,0.9999999905087864,0.015837646036738387,2.1697138658515938,0.000004795179901118962
93,0.999999897335318,0.014146439893802657,1.938190469781863,0.000005446934326024936
94,0.9999999999882562,0.013686964199738156,1.8751154220178867,0.000004420592658778649
95,0.9999999999446337,0.01462582381340612,2.0037409405732287,0.000004973279092214925
96,0.9999999991821437,0.012927530685028178,1.771061247041772,0.000004645249110393532
97,0.9999999848185359,0.014167693024131343,1.9409245700049165,0.000004708228873796594
98,0.9999997190975656,0.015008428687509776,2.0559297428900583,0.000004585031157246017
99,0.9999999840015137,0.014464837335853653,1.9816309664845027,0.000004170826952136177
100,0.9999999921448215,0.014261176012077286,1.9537453634637822,0.0000049841844814423464
