generation,best_fitness,best_alpha,best_alpha_s,best_alpha_w
0,0.9999974744410626,0.012111876269784378,1.65987147068538,0.000005353883998536162
1,0.9999999982098906,0.008307813811906789,1.1381804341802946,0.000005948017021718507
2,0.9999998817329792,0.010149175439673577,1.3903383146788448,0.0000051844106032760475
3,0.9999999926670335,0.007961597946489214,1.090758202134513,0.000005318679759499492
4,0.9999999368830369,0.010319729496682339,1.4138762718350217,0.000005185940668871441
5,0.9999999995431429,0.008870609177432948,1.215268094544789,0.000005536270716455846
6,0.9999999469011913,0.008037364149162956,1.1011712727218876,0.000004167584946909286
7,0.9999999999999991,0.00893497776690219,1.2240919615700885,0.0000044764099822059375
8,0.9999999859779677,0.008955193836145807,1.2268915489359737,0.00000548439995273808
9,0.9999999405700216,0.008075066233619964,1.1063397533203505,0.000004628982061855955
10,0.9999999890727195,0.009218468346640921,1.262902907634789,0.000005035062210722242
11,0.9999999998791385,0.009075711962609288,1.2433753609599545,0.000004124634050839708
12,0.9999998478566687,0.009475129452716205,1.297988201249882,0.000005105448976631295
13,0.9999999747401336,0.009416571011295718,1.2901125590385971,0.0000054531578700221885
14,0.9999999964923783,0.008126810847552778,1.1133866996689568,0.000004164065796733905
15,0.999999999951189,0.00921790974996064,1.2628554572746475,0.000004907365919985705
16,0.9999999378550392,0.009653494206515298,1.3225967726484205,0.000005468147904178361
17,0.9999999309508342,0.009269075489048872,1.2699322327061444,0.00000423361900429998
18,0.999999988301628,0.009971223963171965,1.366088186911586,0.0000050312013374964505
19,0.9999999011957693,0.009043133817846568,1.2389897322458863,0.000005001740034837163
20,0.9999996853073972,0.009700181980097665,1.3290788417477652,0.000005009373034259474
21,0.9999999996993643,0.011577675767516027,1.5861472580360891,0.000004946886725552233
22,0.9999999960805193,0.009732701116548465,1.333362818706937,0.000004706612134845787
23,0.9999999999476595,0.010799561054877138,1.4795376546322938,0.000005147146948170791
24,0.9999999963680538,0.01205342590654997,1.6513398950988136,0.0000046147710553899104
25,0.999999973289907,0.010358542543741633,1.4191682114924076,0.000004702284840353749
26,0.9999999998350176,0.010616954001952221,1.4545265553915778,0.000004196280621447255
27,0.9999998633440207,0.010998392075847968,1.5068947119246068,0.000004597552833866793
28,0.9999999427029225,0.010824210579395857,1.4828435656638057,0.000005443197495913038
29,0.9999999537059275,0.010149450202685989,1.3904129116638575,0.0000055777026277008845
30,0.9999998612597325,0.009455354830342122,1.2954832266110494,0.000005025241269863557
31,0.9999999996455716,0.0107442557012578,1.4719687522516802,0.0000037683740677815203
32,0.9999999970820787,0.009158096219419796,1.254645189828733,0.00000441884678150539
33,0.9999999866644451,0.011189166424949357,1.5329523469270159,0.000004124590861202566
34,0.9999999995199322,0.011672953135943798,1.599187345649649,0.000004519939899574124
35,0.9999999241795298,0.010408776536274093,1.425921319622813,0.000004070596632328768
36,0.999999910345046,0.011225768965990904,1.5378352772997654,0.000004936312200059665
37,0.9999999991755155,0.010172538343209176,1.393629491393063,0.000004910172933400976
38,0.9999999567264589,0.008457330711688834,1.1587040685506242,0.000004280362527450452
39,0.9999996513598571,0.011477366062482801,1.5722074709311413,0.00000393115838985339
40,0.9999999482856381,0.010059354237676926,1.3780668281176576,0.000004866809714271922
41,0.9999999924614429,0.010875612041976703,1.4899321416617937,0.000004903726122129168
42,0.9999999786310019,0.009131219784842213,1.2509393562711533,0.000005163349718803414
43,0.9999999819169351,0.010294193445944715,1.4102653483463499,0.000004993646966287544
44,0.9999999906915211,0.01155448350597495,1.5829957711113887,0.00000489084046871317
45,0.999999986424861,0.01032237314186088,1.4141311033814978,0.000005133542610068432
46,0.9999999084703274,0.010002353858212567,1.3704080695893681,0.00000475115911768461
47,0.9999999918857267,0.010315892284182344,1.413303526034194,0.000004696735005600266
48,0.999999999994893,0.008689051862135037,1.1904006605045663,0.000004909226895101046
49,0.9999999919111512,0.010789594884011567,1.4781470521975137,0.000005503792984384774
50,0.9999999990435132,0.01134823956275154,1.5546988932121084,0.000004272813865117641
51,0.9999999927875232,0.01016154969405439,1.3921567169263542,0.0000047692531135199
52,0.9999999999967603,0.012445693218707064,1.7050593373592586,0.00000557892097212385
53,0.9999999998494054,0.012567841197084822,1.721798606249016,0.000005191392616651452
54,0.9999999902889579,0.010574809847988028,1.4487194744006775,0.000004294419495242817
