alpha,mass_up_quark,mass_down_quark,fitness
0.007282,3.7650478556531884e-30,8.376172773850923e-30,0.999970
0.007306,4.092967220204967e-30,9.06094782771821e-30,0.999991
0.007312,3.810553762702387e-30,8.961772731350005e-30,0.999974
0.007292,3.874634267624236e-30,8.576635993482133e-30,0.999996
0.007296,4.2509089614946155e-30,6.794682034184004e-30,1.000000
0.007277,3.3419038806220406e-30,8.497094429888442e-30,0.999948
0.007278,3.872285037412187e-30,7.657862229072029e-30,0.999953
0.007286,4.288214030584599e-30,9.390449191504293e-30,0.999983
0.007314,3.912780240631157e-30,8.42998497450158e-30,0.999967
0.007288,3.8290029605404396e-30,8.814825579189053e-30,0.999988
0.007269,3.7698649466278994e-30,9.140293815976816e-30,0.999902
0.007308,3.9887231561576226e-30,8.06086728287155e-30,0.999986
0.007285,4.000966404666875e-30,6.58770365447801e-30,0.999981
0.007303,4.21357455045926e-30,8.670970915094229e-30,0.999996
0.007311,4.212479168867306e-30,7.576936718568299e-30,0.999977
0.007287,3.760094163170215e-30,1.0352694262098115e-29,0.999987
0.007275,4.185463063379774e-30,9.098095006927972e-30,0.999937
0.007306,4.1074355656492456e-30,8.199451785826287e-30,0.999990
0.007317,3.666490027489904e-30,8.853934657822405e-30,0.999952
0.007300,3.785545065876326e-30,8.566497379703747e-30,0.999999
0.007305,4.25832442183716e-30,9.387150918930533e-30,0.999993
0.007287,4.4804267670882795e-30,1.0089942941900195e-29,0.999986
0.007322,4.616423844311613e-30,6.522230171392066e-30,0.999926
0.007302,3.637591014595922e-30,1.0112439760745024e-29,0.999997
0.007313,3.744211580468645e-30,9.324265315689855e-30,0.999969
0.007298,3.861322907056816e-30,8.684065524220863e-30,1.000000
0.007313,4.310991503649611e-30,8.215101306555263e-30,0.999969
0.007304,3.8549272855179134e-30,8.223929035745096e-30,0.999995
0.007304,3.629800999282462e-30,8.283406117867919e-30,0.999994
0.007305,4.1090866729753224e-30,9.109602251877833e-30,0.999993
0.007287,3.986703995007441e-30,8.607751896285851e-30,0.999987
0.007286,3.065374021739238e-30,8.823736790918942e-30,0.999985
0.007279,4.002493321301833e-30,7.846719770327722e-30,0.999960
0.007287,3.7432365612411915e-30,8.763977722238277e-30,0.999986
0.007319,4.321454319605802e-30,9.07136784472161e-30,0.999944
0.007296,4.209782961612206e-30,7.932660826106447e-30,1.000000
0.007291,3.992083390440865e-30,9.273634031739102e-30,0.999996
0.007267,4.004242821128841e-30,8.766615669987702e-30,0.999885
0.007312,3.0598356551250726e-30,6.90833920892562e-30,0.999974
0.007290,4.087294863682013e-30,9.283851131721072e-30,0.999993
0.007296,3.6330236058703566e-30,7.498578347576593e-30,1.000000
0.007291,4.0085692696140026e-30,8.661903538970607e-30,0.999994
0.007304,3.055547843120322e-30,9.4211864043276e-30,0.999994
0.007300,4.2695759628668656e-30,8.387068777071908e-30,0.999999
0.007307,3.4188130306620886e-30,8.532557828074718e-30,0.999989
0.007306,4.049558786068803e-30,8.45120461002438e-30,0.999990
0.007301,3.5262792200410406e-30,1.0066800381402226e-29,0.999999
0.007298,3.778804902691541e-30,9.040981648124384e-30,1.000000
0.007309,3.583200957708431e-30,7.183227620007643e-30,0.999982
0.007306,3.781885873057675e-30,6.907589146859573e-30,0.999991
0.007285,4.540230952289005e-30,8.54999402593673e-30,0.999982
0.007269,4.051908763383717e-30,8.988755952092487e-30,0.999902
0.007301,3.989365349062862e-30,7.60122533222217e-30,0.999998
0.007279,3.3951171763923486e-30,7.4202529466875e-30,0.999957
0.007317,4.479359534974724e-30,1.0440852673550895e-29,0.999952
0.007289,4.39807267289871e-30,8.605551465513713e-30,0.999991
0.007304,3.451575387428796e-30,8.406157778810532e-30,0.999995
0.007297,4.269947489987306e-30,9.552426734600114e-30,1.000000
0.007283,3.9287102827756194e-30,8.607488906417074e-30,0.999973
0.007293,3.645632852275573e-30,8.460888911303538e-30,0.999998
0.007285,4.0591988622985676e-30,9.231857416603857e-30,0.999981
0.007304,3.8390661356895046e-30,9.057703051446482e-30,0.999995
0.007283,4.366674526017751e-30,8.850775970964162e-30,0.999975
0.007295,3.978595026767998e-30,7.759675622948588e-30,0.999999
0.007281,3.312139380383881e-30,7.727635980747512e-30,0.999968
0.007290,3.677434837278014e-30,1.032693217372433e-29,0.999993
0.007308,4.5759194997773914e-30,7.340603268295916e-30,0.999985
0.007294,3.858176082102017e-30,7.739396058366237e-30,0.999999
0.007296,3.626845687435836e-30,9.6220530965932e-30,1.000000
0.007292,2.8066045199250627e-30,8.946297585885691e-30,0.999996
0.007302,3.916499506308621e-30,7.887571723602299e-30,0.999997
0.007282,3.725672753743598e-30,8.070872492629311e-30,0.999970
0.007303,4.0251498274124935e-30,9.169120361409629e-30,0.999997
0.007330,3.225225441968081e-30,8.65026905984185e-30,0.999868
0.007300,3.839777714116342e-30,1.0167651763961224e-29,0.999999
0.007298,3.431132115409142e-30,8.312252902317627e-30,1.000000
0.007306,3.797378253352951e-30,7.449882913216479e-30,0.999990
0.007307,3.755138063415273e-30,8.396127787471179e-30,0.999987
0.007310,3.177592175812581e-30,8.859620928725802e-30,0.999981
0.007300,3.705456957181236e-30,8.156232659101048e-30,0.999999
0.007287,4.593863646098382e-30,8.812478428660426e-30,0.999987
0.007270,4.0007441745390464e-30,7.735524030418723e-30,0.999909
0.007303,4.152769271619224e-30,9.773603016707818e-30,0.999996
0.007298,3.8673024934264414e-30,8.005932038363146e-30,1.000000
0.007293,3.887474338044111e-30,8.159006099733009e-30,0.999997
0.007323,3.2831868941537905e-30,8.72755236148657e-30,0.999917
0.007294,4.296621304911329e-30,7.972380529011272e-30,0.999998
0.007283,4.442122192622839e-30,8.000730431291435e-30,0.999976
0.007304,4.05792170307003e-30,8.272701032706542e-30,0.999994
0.007276,3.222509337048737e-30,8.724371726571156e-30,0.999943
0.007293,3.8779106735569285e-30,7.679043984426345e-30,0.999997
0.007314,3.8246598564978065e-30,7.902340918620284e-30,0.999964
0.007328,3.65775602909276e-30,7.70026765821847e-30,0.999881
0.007308,4.0371413130095944e-30,8.58871999799303e-30,0.999986
0.007284,3.6811692773890554e-30,7.956445811907404e-30,0.999978
0.007281,3.7850982900233e-30,8.529320447999448e-30,0.999966
0.007294,3.7715488632698064e-30,8.83521553199614e-30,0.999999
0.007287,4.0884537618923665e-30,8.893097118260565e-30,0.999986
0.007307,3.892862345012127e-30,8.796205036061246e-30,0.999989
0.007299,3.5258166871087236e-30,7.406263265664771e-30,1.000000
0.007328,3.012657858681712e-30,9.119868089685664e-30,0.999883
0.007288,3.825873981271492e-30,8.250218470182024e-30,0.999989
0.007315,3.93516355855221e-30,8.690324177035781e-30,0.999961
0.007291,3.8751559611952165e-30,8.74559476473331e-30,0.999994
0.007317,3.2969125623059056e-30,9.131872314462099e-30,0.999950
0.007286,4.08263719289547e-30,7.776075694586062e-30,0.999983
0.007289,3.941136099880246e-30,9.06683803045784e-30,0.999992
0.007304,3.783755660630122e-30,8.911165137685473e-30,0.999994
0.007322,5.0921312271061074e-30,8.672440597541307e-30,0.999924
0.007284,3.93250561528946e-30,1.0611174675231419e-29,0.999977
0.007290,4.210464485005827e-30,8.813884104623856e-30,0.999993
0.007294,2.9511304913159084e-30,7.75436135048816e-30,0.999998
0.007320,4.022089178404962e-30,8.036883521275733e-30,0.999934
0.007278,3.6382029350617515e-30,8.711072367568488e-30,0.999951
0.007294,3.8868582879148555e-30,8.113319353447263e-30,0.999998
0.007311,4.1937158479743156e-30,8.012790998552705e-30,0.999977
0.007252,3.5339067580199146e-30,8.738574200405452e-30,0.999744
0.007314,3.1385745605626537e-30,8.976105339388447e-30,0.999967
0.007289,3.7329197702049004e-30,8.200482902551265e-30,0.999991
0.007297,3.2088232765709104e-30,8.551062740740746e-30,1.000000
0.007283,3.5143648103497865e-30,8.353752332005696e-30,0.999974
0.007275,4.378618287965723e-30,9.038788439194243e-30,0.999936
0.007302,3.409399181714134e-30,8.517855358928024e-30,0.999997
0.007309,3.222161380479163e-30,8.949952237116762e-30,0.999983
0.007280,3.790331032038132e-30,8.979444312525664e-30,0.999961
0.007277,3.654498136951839e-30,9.985785106518307e-30,0.999947
0.007310,3.649502560524064e-30,9.456493653241046e-30,0.999981
0.007286,3.834828856358071e-30,8.550889142179489e-30,0.999984
0.007306,3.8205129558023395e-30,6.909349246687584e-30,0.999991
0.007312,3.368306358167916e-30,8.186806712796795e-30,0.999973
0.007310,4.11354624231056e-30,9.205526182696087e-30,0.999981
0.007320,4.436063923234072e-30,8.069375505411533e-30,0.999935
0.007278,3.7273126811629286e-30,7.569551965554897e-30,0.999954
0.007285,4.130589866146237e-30,7.216541817654159e-30,0.999982
0.007288,3.705909645688064e-30,8.5558248163218e-30,0.999988
0.007296,3.330627673560665e-30,9.726801156748154e-30,1.000000
0.007309,3.573219892839237e-30,9.178613774625748e-30,0.999983
0.007300,3.730640151074896e-30,7.791213044218958e-30,0.999999
0.007315,4.150120738311028e-30,8.83272104212852e-30,0.999960
0.007266,4.933637423732115e-30,8.839170239269508e-30,0.999876
0.007292,4.1721037217378055e-30,7.72557729190559e-30,0.999996
0.007295,3.4818726758663895e-30,8.182343797718616e-30,0.999999
0.007298,4.005541779332754e-30,8.866190829026687e-30,1.000000
0.007316,4.346266042374798e-30,8.73321121291846e-30,0.999956
0.007299,4.390757533592733e-30,8.165707461658142e-30,1.000000
0.007285,3.773728484911594e-30,9.206637995483101e-30,0.999981
0.007280,4.583957348680492e-30,9.144885776678854e-30,0.999961
0.007263,4.222973240535358e-30,8.888137283107724e-30,0.999856
0.007303,4.0236662251280404e-30,8.920906618399152e-30,0.999996
0.007291,3.8351606046990136e-30,1.0565808581992576e-29,0.999995
0.007280,3.739338718787106e-30,7.17082601260509e-30,0.999963
0.007300,4.70599547924622e-30,8.282393489472845e-30,0.999999
0.007275,4.26809423340257e-30,7.903933440583782e-30,0.999937
0.007282,3.716709573205385e-30,8.267313040322013e-30,0.999971
0.007297,4.1057140352700004e-30,8.860417262120388e-30,1.000000
0.007265,4.127548548882735e-30,9.388975953774117e-30,0.999868
0.007303,3.5672910698492575e-30,8.630916727951288e-30,0.999996
0.007307,3.7310120163102616e-30,7.820205398273607e-30,0.999987
0.007279,3.721384645665706e-30,8.30907925273607e-30,0.999956
0.007284,4.290389915061186e-30,9.900768971038447e-30,0.999979
0.007283,4.2960358239191975e-30,8.071978258848742e-30,0.999976
0.007291,3.165939658677102e-30,1.002243611979252e-29,0.999994
0.007306,3.4560693750823586e-30,8.604693463668603e-30,0.999990
0.007297,4.202866340530509e-30,8.166068881297783e-30,1.000000
0.007297,3.903107921066766e-30,8.156980699549323e-30,1.000000
0.007262,3.7846693561158215e-30,8.3677660733091e-30,0.999841
0.007293,3.669729680251719e-30,9.161736203630245e-30,0.999998
0.007298,3.849896392699193e-30,7.297358475695094e-30,1.000000
0.007309,3.751855442707948e-30,9.630855095776267e-30,0.999983
0.007274,4.028747683737761e-30,8.02548523455133e-30,0.999934
0.007289,3.2673280779480115e-30,8.556908366620102e-30,0.999992
0.007304,3.974682120089015e-30,8.371993878455614e-30,0.999995
0.007292,4.11284212097234e-30,9.641619710867915e-30,0.999996
0.007299,3.866896776404505e-30,6.829715115659813e-30,0.999999
0.007295,3.938130032794665e-30,8.96003919756656e-30,0.999999
0.007304,3.85362570837108e-30,8.818564187275237e-30,0.999995
0.007299,3.670151703483357e-30,8.670027886206639e-30,1.000000
0.007286,3.227858881248212e-30,8.484445311448534e-30,0.999983
0.007288,3.6031634879619614e-30,7.665544299752983e-30,0.999990
0.007307,4.6131693468922565e-30,9.823045458063035e-30,0.999990
0.007316,4.102938420450621e-30,9.455719463024234e-30,0.999956
0.007291,3.714357485995976e-30,1.034011501771988e-29,0.999996
0.007283,3.942638465921868e-30,8.197675072948374e-30,0.999973
0.007284,3.878037495497868e-30,7.669883776362909e-30,0.999976
0.007280,4.0737311617111855e-30,9.119039519611164e-30,0.999964
0.007279,4.055850529859081e-30,8.846026441053873e-30,0.999956
0.007301,3.48153623184469e-30,8.433199085068076e-30,0.999998
0.007300,4.180905919973156e-30,9.533008485340394e-30,0.999999
0.007288,3.602163833056776e-30,7.375818401846908e-30,0.999990
0.007280,3.951928678933372e-30,8.573310778087e-30,0.999963
0.007296,4.181587662579577e-30,8.130226957078878e-30,1.000000
0.007299,3.589886601180429e-30,7.288754780872392e-30,0.999999
0.007297,4.480038811392338e-30,8.185936299810991e-30,1.000000
0.007303,3.6455408930341296e-30,7.689490613988437e-30,0.999997
0.007286,3.878762890473891e-30,9.482207843802956e-30,0.999984
0.007299,4.403132378198346e-30,8.229317936460605e-30,1.000000
0.007297,4.739708451296234e-30,8.871358872447281e-30,1.000000
0.007265,3.453061827567385e-30,8.556617030819327e-30,0.999866
0.007298,4.159215181859901e-30,8.892040986336998e-30,1.000000
0.007300,4.09474515733386e-30,7.443689187515207e-30,0.999999
0.007313,3.903229487049012e-30,8.265836540072339e-30,0.999971
0.007263,3.214145732470532e-30,8.209554919677621e-30,0.999852
0.007312,3.4473341746625745e-30,8.061541903363656e-30,0.999972
0.007301,3.256024923248995e-30,8.962357734271987e-30,0.999998
0.007307,3.8541689122649304e-30,9.421421969168648e-30,0.999988
0.007262,3.6334550136072944e-30,7.369060729566083e-30,0.999846
0.007261,4.7622170305263425e-30,1.0236606862034845e-29,0.999838
0.007294,3.635034605443532e-30,8.873210286546601e-30,0.999998
0.007310,3.423958843895805e-30,8.948453661654136e-30,0.999980
0.007287,3.2477188519621125e-30,9.5897900785806e-30,0.999986
0.007284,3.6958606655581964e-30,8.590595625184159e-30,0.999979
0.007305,3.9088894030776165e-30,8.644150862493417e-30,0.999993
0.007310,4.212554647443112e-30,7.952269626255385e-30,0.999981
0.007295,3.544202118783706e-30,7.541231899560187e-30,0.999999
0.007310,3.716871734802904e-30,9.561673530996969e-30,0.999982
0.007300,3.0034357281847606e-30,8.864601857555484e-30,0.999999
0.007293,3.397107733238872e-30,8.21190274647319e-30,0.999998
0.007309,3.4526051986675724e-30,8.001802249295151e-30,0.999984
0.007296,4.1882128408684116e-30,9.987916154347927e-30,1.000000
0.007294,3.90019553054313e-30,8.505765981653269e-30,0.999998
0.007313,3.532618020445084e-30,1.0466851330136953e-29,0.999969
0.007297,4.5607274222342056e-30,8.83052172723364e-30,1.000000
0.007288,4.329913302681387e-30,9.141779935428129e-30,0.999989
0.007294,3.726581899747061e-30,8.851548866622007e-30,0.999999
0.007298,4.085334664418429e-30,7.443101869305094e-30,1.000000
0.007307,3.8682109671178205e-30,6.882676982284013e-30,0.999989
0.007311,3.847326952053022e-30,8.787039943365393e-30,0.999977
0.007267,4.4055019623555085e-30,8.258981857119103e-30,0.999888
0.007306,3.5995205159738285e-30,8.936765319407817e-30,0.999990
0.007315,3.0302886610185335e-30,7.892701642842293e-30,0.999963
0.007300,4.340021856681695e-30,9.156886038659787e-30,0.999999
0.007303,3.92703713523231e-30,8.699654348690367e-30,0.999996
0.007286,3.9842470547559186e-30,6.702472732132531e-30,0.999983
0.007317,4.243544842135481e-30,8.248508673070252e-30,0.999950
0.007314,4.469656279371058e-30,8.25605674021495e-30,0.999964
0.007306,3.7981282999339156e-30,9.98773811936874e-30,0.999991
0.007280,3.957031113678254e-30,8.488937253148046e-30,0.999961
0.007305,3.828098745634786e-30,8.029490275278228e-30,0.999992
0.007287,4.041479017370448e-30,8.779794407697651e-30,0.999986
0.007278,4.0328503922529835e-30,8.343039062100613e-30,0.999952
0.007301,3.319739335936629e-30,9.209478052826794e-30,0.999998
0.007297,4.094345778914837e-30,7.649442384353722e-30,1.000000
0.007272,4.256512843690279e-30,1.026749993911669e-29,0.999922
0.007322,4.948857146754526e-30,1.0346909024099687e-29,0.999926
0.007299,4.9999123280699735e-30,8.24208918920983e-30,1.000000
0.007286,4.186873321277252e-30,7.197525697542873e-30,0.999984
0.007302,3.8396394435001984e-30,8.687623173467566e-30,0.999997
0.007287,3.7503629770057335e-30,9.245613582243794e-30,0.999987
0.007292,3.745303787137112e-30,8.264769681906304e-30,0.999996
0.007302,3.605762991458796e-30,9.053178445596932e-30,0.999997
0.007294,4.332948299934068e-30,8.454252615297506e-30,0.999999
0.007292,4.7135461079531636e-30,8.419875688350251e-30,0.999997
0.007317,3.6195769374456105e-30,8.288554689002617e-30,0.999951
0.007296,4.484685503758942e-30,8.539981964551925e-30,1.000000
0.007285,3.6177148251059386e-30,9.677184152642447e-30,0.999982
0.007304,3.78383711708778e-30,8.956627509878377e-30,0.999995
0.007284,4.225547136700314e-30,7.86731544440856e-30,0.999977
0.007304,4.196877353912641e-30,9.456140151364446e-30,0.999995
0.007287,4.321741407958523e-30,9.001087841320855e-30,0.999987
0.007301,4.1446207192428286e-30,8.772036129341589e-30,0.999999
0.007298,3.719805684973176e-30,7.84722951786647e-30,1.000000
0.007290,3.6838343945640654e-30,9.455013058589379e-30,0.999993
0.007267,3.721907056436695e-30,7.577263327000617e-30,0.999885
0.007303,3.855719281246292e-30,8.383162657302291e-30,0.999996
0.007297,3.591462772674794e-30,8.05786998229775e-30,1.000000
0.007310,4.108311436679538e-30,9.240555591350692e-30,0.999981
0.007295,4.134216329860271e-30,9.13179441500873e-30,0.999999
0.007307,4.5585435189424774e-30,8.989211710821002e-30,0.999989
0.007304,3.9228667368792736e-30,7.711602782263763e-30,0.999995
0.007317,4.0298331634256974e-30,8.007741845455474e-30,0.999952
0.007293,4.009783042271898e-30,1.0394865725179284e-29,0.999997
0.007334,4.941560168865416e-30,8.604783648877888e-30,0.999828
0.007332,3.920899301517361e-30,9.793913027328444e-30,0.999853
0.007298,4.105761324289615e-30,6.318290156313998e-30,1.000000
0.007310,3.691056307973503e-30,9.109574367293671e-30,0.999980
0.007312,3.539131809253643e-30,8.18112617659249e-30,0.999975
0.007307,3.96418079376084e-30,9.035166079181782e-30,0.999989
0.007304,3.4575643244060795e-30,8.213623266250766e-30,0.999995
0.007310,4.023977428760926e-30,8.453267226975218e-30,0.999979
0.007322,3.17046665711068e-30,8.594318371419941e-30,0.999924
0.007318,4.113860814160395e-30,8.727049845250842e-30,0.999947
0.007304,3.7437383984024715e-30,9.226082157427297e-30,0.999994
0.007299,4.2883013477343576e-30,9.100889731600059e-30,0.999999
0.007302,3.9522857339567426e-30,9.35367460310143e-30,0.999997
0.007320,4.074930411463395e-30,7.174687006095768e-30,0.999938
0.007301,3.874114508849191e-30,8.444793784324094e-30,0.999998
0.007323,3.937892929238192e-30,7.684116987146679e-30,0.999919
0.007274,3.378912095513792e-30,1.0199236639264075e-29,0.999932
0.007315,4.17936511679211e-30,1.0300671790188288e-29,0.999960
0.007288,4.097906880627936e-30,6.833014496758037e-30,0.999989
0.007278,3.282548251865994e-30,8.027162084761852e-30,0.999955
0.007303,4.1038127398746046e-30,9.451220457926173e-30,0.999996
0.007294,4.613739204604267e-30,9.135251625921785e-30,0.999998
0.007279,3.5887078062431936e-30,9.815069032715202e-30,0.999956
0.007279,3.718794440553426e-30,7.37730647835042e-30,0.999959
0.007307,4.894467199371167e-30,9.418541912373585e-30,0.999988
0.007291,3.8267281866468595e-30,9.05171881051392e-30,0.999995
0.007317,3.8274656321266714e-30,7.39043178042236e-30,0.999952
0.007300,3.744255724347193e-30,9.208730022938548e-30,0.999999
0.007289,3.756805667906346e-30,6.971034915894228e-30,0.999991
0.007275,4.585997673045671e-30,8.377347214052318e-30,0.999937
0.007295,4.739779894532955e-30,1.0278996542361711e-29,0.999999
0.007295,4.1869887869432525e-30,8.763311744611366e-30,0.999999
0.007316,3.486795782764025e-30,9.593176432498348e-30,0.999956
0.007305,4.7056958547249026e-30,8.618009122134487e-30,0.999993
0.007314,4.085651164149557e-30,9.099117132549719e-30,0.999966
0.007279,4.051497939513411e-30,8.368650990028535e-30,0.999957
0.007309,4.0227322722702945e-30,7.856407616603108e-30,0.999984
0.007327,3.9402207980330524e-30,7.587423170132702e-30,0.999890
0.007310,4.529392992879347e-30,9.30337140865188e-30,0.999980
0.007313,4.2162959871237544e-30,7.236462363684209e-30,0.999969
0.007284,3.6639697312749716e-30,7.678389854704245e-30,0.999979
0.007289,4.062220912627009e-30,1.05505222160719e-29,0.999990
0.007288,3.783296954655201e-30,9.031774518710463e-30,0.999989
0.007294,2.9108076227677502e-30,7.250578148744184e-30,0.999999
0.007280,3.9444071474253025e-30,7.37998754532504e-30,0.999962
0.007308,4.037042263640266e-30,7.839670867218785e-30,0.999987
0.007302,3.8767768460194084e-30,7.928527192985558e-30,0.999997
0.007337,3.244382484023725e-30,7.606757538690151e-30,0.999799
0.007306,3.4297947339364375e-30,7.733775167919719e-30,0.999991
0.007289,3.398862826908272e-30,7.989412569653602e-30,0.999991
0.007314,5.001982236407597e-30,9.091119438742487e-30,0.999966
0.007314,3.4712067367671485e-30,9.022671304751525e-30,0.999967
0.007280,3.8248058718897844e-30,8.799773288706592e-30,0.999963
0.007249,3.727814402673787e-30,7.617232749045782e-30,0.999702
0.007306,3.764121616455934e-30,7.772362127472555e-30,0.999992
0.007281,4.612689560999858e-30,9.102760860720848e-30,0.999965
0.007307,4.5412290532316646e-30,7.608530650600521e-30,0.999987
0.007294,3.519171338148358e-30,8.415318896637507e-30,0.999998
0.007291,4.018909427333284e-30,9.168840437215513e-30,0.999994
0.007307,3.1943072244689685e-30,9.393231338717637e-30,0.999988
0.007282,3.3053481312529156e-30,6.935904333268419e-30,0.999969
